TOP.59f1edc5.0006a9ae	START
TOP.59f1edc5.0006a9ae	user_options->separator	:
TOP.59f1edc5.0006a9ae	user_options->encoding_from	utf-8
TOP.59f1edc5.0006a9ae	user_options->encoding_to	utf-8
TOP.59f1edc5.0006a9ae	user_options->rule_buf_l	:
TOP.59f1edc5.0006a9ae	user_options->rule_buf_r	:
TOP.59f1edc5.0006a9ae	user_options->session	hashcat
TOP.59f1edc5.0006a9ae	user_options->limit	0
TOP.59f1edc5.0006a9ae	user_options->skip	0
TOP.59f1edc5.0006a9ae	user_options->attack_mode	0
TOP.59f1edc5.0006a9ae	user_options->benchmark	0
TOP.59f1edc5.0006a9ae	user_options->bitmap_max	24
TOP.59f1edc5.0006a9ae	user_options->bitmap_min	16
TOP.59f1edc5.0006a9ae	user_options->debug_mode	0
TOP.59f1edc5.0006a9ae	user_options->force	0
TOP.59f1edc5.0006a9ae	user_options->gpu_temp_abort	90
TOP.59f1edc5.0006a9ae	user_options->gpu_temp_disable	0
TOP.59f1edc5.0006a9ae	user_options->gpu_temp_retain	0
TOP.59f1edc5.0006a9ae	user_options->hash_mode	500
TOP.59f1edc5.0006a9ae	user_options->hex_charset	0
TOP.59f1edc5.0006a9ae	user_options->hex_salt	0
TOP.59f1edc5.0006a9ae	user_options->hex_wordlist	0
TOP.59f1edc5.0006a9ae	user_options->increment	0
TOP.59f1edc5.0006a9ae	user_options->increment_max	54
TOP.59f1edc5.0006a9ae	user_options->increment_min	1
TOP.59f1edc5.0006a9ae	user_options->keep_guessing	0
TOP.59f1edc5.0006a9ae	user_options->kernel_accel	0
TOP.59f1edc5.0006a9ae	user_options->kernel_loops	0
TOP.59f1edc5.0006a9ae	user_options->keyspace	0
TOP.59f1edc5.0006a9ae	user_options->left	0
TOP.59f1edc5.0006a9ae	user_options->logfile_disable	0
TOP.59f1edc5.0006a9ae	user_options->loopback	0
TOP.59f1edc5.0006a9ae	user_options->machine_readable	0
TOP.59f1edc5.0006a9ae	user_options->markov_classic	0
TOP.59f1edc5.0006a9ae	user_options->markov_disable	0
TOP.59f1edc5.0006a9ae	user_options->markov_threshold	256
TOP.59f1edc5.0006a9ae	user_options->nvidia_spin_damp	100
TOP.59f1edc5.0006a9ae	user_options->opencl_info	0
TOP.59f1edc5.0006a9ae	user_options->opencl_vector_width	0
TOP.59f1edc5.0006a9ae	user_options->outfile_autohex	1
TOP.59f1edc5.0006a9ae	user_options->outfile_check_timer	5
TOP.59f1edc5.0006a9ae	user_options->outfile_format	3
TOP.59f1edc5.0006a9ae	user_options->potfile_disable	0
TOP.59f1edc5.0006a9ae	user_options->powertune_enable	0
TOP.59f1edc5.0006a9ae	user_options->quiet	0
TOP.59f1edc5.0006a9ae	user_options->remove	0
TOP.59f1edc5.0006a9ae	user_options->remove_timer	60
TOP.59f1edc5.0006a9ae	user_options->restore	0
TOP.59f1edc5.0006a9ae	user_options->restore_disable	0
TOP.59f1edc5.0006a9ae	user_options->restore_timer	60
TOP.59f1edc5.0006a9ae	user_options->rp_files_cnt	0
TOP.59f1edc5.0006a9ae	user_options->rp_gen	0
TOP.59f1edc5.0006a9ae	user_options->rp_gen_func_max	4
TOP.59f1edc5.0006a9ae	user_options->rp_gen_func_min	1
TOP.59f1edc5.0006a9ae	user_options->rp_gen_seed	0
TOP.59f1edc5.0006a9ae	user_options->runtime	0
