TOP.59f25b1c.0003e51c	START
TOP.59f25b1c.0003e51c	user_options->separator	:
TOP.59f25b1c.0003e51c	user_options->encoding_from	utf-8
TOP.59f25b1c.0003e51c	user_options->encoding_to	utf-8
TOP.59f25b1c.0003e51c	user_options->rule_buf_l	:
TOP.59f25b1c.0003e51c	user_options->rule_buf_r	:
TOP.59f25b1c.0003e51c	user_options->session	show
TOP.59f25b1c.0003e51c	user_options->limit	0
TOP.59f25b1c.0003e51c	user_options->skip	0
TOP.59f25b1c.0003e51c	user_options->attack_mode	100
TOP.59f25b1c.0003e51c	user_options->benchmark	0
TOP.59f25b1c.0003e51c	user_options->bitmap_max	24
TOP.59f25b1c.0003e51c	user_options->bitmap_min	16
TOP.59f25b1c.0003e51c	user_options->debug_mode	0
TOP.59f25b1c.0003e51c	user_options->force	0
TOP.59f25b1c.0003e51c	user_options->gpu_temp_abort	90
TOP.59f25b1c.0003e51c	user_options->gpu_temp_disable	0
TOP.59f25b1c.0003e51c	user_options->gpu_temp_retain	75
TOP.59f25b1c.0003e51c	user_options->hash_mode	0
TOP.59f25b1c.0003e51c	user_options->hex_charset	0
TOP.59f25b1c.0003e51c	user_options->hex_salt	0
TOP.59f25b1c.0003e51c	user_options->hex_wordlist	0
TOP.59f25b1c.0003e51c	user_options->increment	0
TOP.59f25b1c.0003e51c	user_options->increment_max	54
TOP.59f25b1c.0003e51c	user_options->increment_min	1
TOP.59f25b1c.0003e51c	user_options->keep_guessing	0
TOP.59f25b1c.0003e51c	user_options->kernel_accel	0
TOP.59f25b1c.0003e51c	user_options->kernel_loops	0
TOP.59f25b1c.0003e51c	user_options->keyspace	0
TOP.59f25b1c.0003e51c	user_options->left	0
TOP.59f25b1c.0003e51c	user_options->logfile_disable	0
TOP.59f25b1c.0003e51c	user_options->loopback	0
TOP.59f25b1c.0003e51c	user_options->machine_readable	0
TOP.59f25b1c.0003e51c	user_options->markov_classic	0
TOP.59f25b1c.0003e51c	user_options->markov_disable	0
TOP.59f25b1c.0003e51c	user_options->markov_threshold	256
TOP.59f25b1c.0003e51c	user_options->nvidia_spin_damp	100
TOP.59f25b1c.0003e51c	user_options->opencl_info	0
TOP.59f25b1c.0003e51c	user_options->opencl_vector_width	0
TOP.59f25b1c.0003e51c	user_options->outfile_autohex	1
TOP.59f25b1c.0003e51c	user_options->outfile_check_timer	5
TOP.59f25b1c.0003e51c	user_options->outfile_format	3
TOP.59f25b1c.0003e51c	user_options->potfile_disable	0
